file_path,labels_numeric,labels_text
artifacts/data_preprocessing/processed_audio_data\mixed_60.wav,"['17', '16', '14']","['Whistling', 'WoodChop', 'Firework']"
artifacts/data_preprocessing/processed_audio_data\mixed_61.wav,"['22', '12']","['Frog', 'Generator']"
artifacts/data_preprocessing/processed_audio_data\mixed_62.wav,"['1', '27', '11']","['Fire', 'Squirrel', 'Chainsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_63.wav,"['10', '13', '12']","['Axe', 'Handsaw', 'Generator']"
artifacts/data_preprocessing/processed_audio_data\mixed_64.wav,"['24', '19', '20']","['WingFlapping', 'Footsteps', 'Clapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_65.wav,"['16', '14']","['WoodChop', 'Firework']"
artifacts/data_preprocessing/processed_audio_data\mixed_66.wav,"['12', '11']","['Generator', 'Chainsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_67.wav,"['22', '12', '10']","['Frog', 'Generator', 'Axe']"
artifacts/data_preprocessing/processed_audio_data\mixed_68.wav,"['8', '9', '22']","['Helicopter', 'VehicleEngine', 'Frog']"
artifacts/data_preprocessing/processed_audio_data\mixed_69.wav,"['26', '10', '27']","['WolfHowl', 'Axe', 'Squirrel']"
artifacts/data_preprocessing/processed_audio_data\mixed_70.wav,"['3', '19', '11']","['Thunderstorm', 'Footsteps', 'Chainsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_71.wav,"['2', '3', '24']","['Rain', 'Thunderstorm', 'WingFlapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_72.wav,"['21', '19']","['Insect', 'Footsteps']"
artifacts/data_preprocessing/processed_audio_data\mixed_73.wav,"['12', '3']","['Generator', 'Thunderstorm']"
artifacts/data_preprocessing/processed_audio_data\mixed_74.wav,"['9', '2']","['VehicleEngine', 'Rain']"
artifacts/data_preprocessing/processed_audio_data\mixed_75.wav,"['25', '22', '23']","['Lion', 'Frog', 'BirdChapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_76.wav,"['11', '23']","['Chainsaw', 'BirdChapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_77.wav,"['15', '19', '13']","['Gunshot', 'Footsteps', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_78.wav,"['10', '16']","['Axe', 'WoodChop']"
artifacts/data_preprocessing/processed_audio_data\mixed_79.wav,"['23', '2', '18']","['BirdChapping', 'Rain', 'Speaking']"
artifacts/data_preprocessing/processed_audio_data\mixed_80.wav,"['14', '21', '13']","['Firework', 'Insect', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_81.wav,"['8', '11']","['Helicopter', 'Chainsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_82.wav,"['18', '3']","['Speaking', 'Thunderstorm']"
artifacts/data_preprocessing/processed_audio_data\mixed_83.wav,"['3', '2']","['Thunderstorm', 'Rain']"
artifacts/data_preprocessing/processed_audio_data\mixed_84.wav,"['19', '16']","['Footsteps', 'WoodChop']"
artifacts/data_preprocessing/processed_audio_data\mixed_85.wav,"['22', '18', '3']","['Frog', 'Speaking', 'Thunderstorm']"
artifacts/data_preprocessing/processed_audio_data\mixed_86.wav,"['4', '9']","['WaterDrops', 'VehicleEngine']"
artifacts/data_preprocessing/processed_audio_data\mixed_87.wav,"['27', '1', '24']","['Squirrel', 'Fire', 'WingFlapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_88.wav,"['18', '9', '5']","['Speaking', 'VehicleEngine', 'Wind']"
artifacts/data_preprocessing/processed_audio_data\mixed_89.wav,"['22', '8', '21']","['Frog', 'Helicopter', 'Insect']"
artifacts/data_preprocessing/processed_audio_data\mixed_90.wav,"['15', '13', '24']","['Gunshot', 'Handsaw', 'WingFlapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_91.wav,"['6', '2', '13']","['Silence', 'Rain', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_92.wav,"['5', '7']","['Wind', 'TreeFalling']"
artifacts/data_preprocessing/processed_audio_data\mixed_93.wav,"['2', '17', '22']","['Rain', 'Whistling', 'Frog']"
artifacts/data_preprocessing/processed_audio_data\mixed_94.wav,"['27', '16', '11']","['Squirrel', 'WoodChop', 'Chainsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_95.wav,"['9', '2']","['VehicleEngine', 'Rain']"
artifacts/data_preprocessing/processed_audio_data\mixed_96.wav,"['23', '27']","['BirdChapping', 'Squirrel']"
artifacts/data_preprocessing/processed_audio_data\mixed_97.wav,"['14', '10']","['Firework', 'Axe']"
artifacts/data_preprocessing/processed_audio_data\mixed_98.wav,"['16', '5']","['WoodChop', 'Wind']"
artifacts/data_preprocessing/processed_audio_data\mixed_99.wav,"['14', '9', '4']","['Firework', 'VehicleEngine', 'WaterDrops']"
artifacts/data_preprocessing/processed_audio_data\mixed_100.wav,"['21', '22', '26']","['Insect', 'Frog', 'WolfHowl']"
artifacts/data_preprocessing/processed_audio_data\mixed_101.wav,"['27', '22']","['Squirrel', 'Frog']"
artifacts/data_preprocessing/processed_audio_data\mixed_102.wav,"['10', '22', '5']","['Axe', 'Frog', 'Wind']"
artifacts/data_preprocessing/processed_audio_data\mixed_103.wav,"['24', '9', '23']","['WingFlapping', 'VehicleEngine', 'BirdChapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_104.wav,"['22', '21']","['Frog', 'Insect']"
artifacts/data_preprocessing/processed_audio_data\mixed_105.wav,"['26', '24', '6']","['WolfHowl', 'WingFlapping', 'Silence']"
artifacts/data_preprocessing/processed_audio_data\mixed_106.wav,"['3', '22', '26']","['Thunderstorm', 'Frog', 'WolfHowl']"
artifacts/data_preprocessing/processed_audio_data\mixed_107.wav,"['27', '23', '14']","['Squirrel', 'BirdChapping', 'Firework']"
artifacts/data_preprocessing/processed_audio_data\mixed_108.wav,"['19', '14']","['Footsteps', 'Firework']"
artifacts/data_preprocessing/processed_audio_data\mixed_109.wav,"['27', '23', '4']","['Squirrel', 'BirdChapping', 'WaterDrops']"
artifacts/data_preprocessing/processed_audio_data\mixed_110.wav,"['8', '11', '23']","['Helicopter', 'Chainsaw', 'BirdChapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_111.wav,"['9', '18']","['VehicleEngine', 'Speaking']"
artifacts/data_preprocessing/processed_audio_data\mixed_112.wav,"['2', '10']","['Rain', 'Axe']"
artifacts/data_preprocessing/processed_audio_data\mixed_113.wav,"['16', '21']","['WoodChop', 'Insect']"
artifacts/data_preprocessing/processed_audio_data\mixed_114.wav,"['16', '13', '6']","['WoodChop', 'Handsaw', 'Silence']"
artifacts/data_preprocessing/processed_audio_data\mixed_115.wav,"['1', '9', '24']","['Fire', 'VehicleEngine', 'WingFlapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_116.wav,"['2', '13']","['Rain', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_117.wav,"['21', '8', '26']","['Insect', 'Helicopter', 'WolfHowl']"
artifacts/data_preprocessing/processed_audio_data\mixed_118.wav,"['21', '25']","['Insect', 'Lion']"
artifacts/data_preprocessing/processed_audio_data\mixed_119.wav,"['2', '14', '24']","['Rain', 'Firework', 'WingFlapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_120.wav,"['7', '5', '24']","['TreeFalling', 'Wind', 'WingFlapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_121.wav,"['17', '24']","['Whistling', 'WingFlapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_122.wav,"['1', '20']","['Fire', 'Clapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_123.wav,"['24', '2']","['WingFlapping', 'Rain']"
artifacts/data_preprocessing/processed_audio_data\mixed_124.wav,"['8', '1', '15']","['Helicopter', 'Fire', 'Gunshot']"
artifacts/data_preprocessing/processed_audio_data\mixed_125.wav,"['26', '14', '5']","['WolfHowl', 'Firework', 'Wind']"
artifacts/data_preprocessing/processed_audio_data\mixed_126.wav,"['9', '11', '22']","['VehicleEngine', 'Chainsaw', 'Frog']"
artifacts/data_preprocessing/processed_audio_data\mixed_127.wav,"['10', '19', '13']","['Axe', 'Footsteps', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_128.wav,"['20', '2']","['Clapping', 'Rain']"
artifacts/data_preprocessing/processed_audio_data\mixed_129.wav,"['20', '5']","['Clapping', 'Wind']"
artifacts/data_preprocessing/processed_audio_data\mixed_130.wav,"['10', '20']","['Axe', 'Clapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_131.wav,"['1', '9', '2']","['Fire', 'VehicleEngine', 'Rain']"
artifacts/data_preprocessing/processed_audio_data\mixed_132.wav,"['7', '2']","['TreeFalling', 'Rain']"
artifacts/data_preprocessing/processed_audio_data\mixed_133.wav,"['3', '10', '8']","['Thunderstorm', 'Axe', 'Helicopter']"
artifacts/data_preprocessing/processed_audio_data\mixed_134.wav,"['15', '22', '14']","['Gunshot', 'Frog', 'Firework']"
artifacts/data_preprocessing/processed_audio_data\mixed_135.wav,"['9', '26', '7']","['VehicleEngine', 'WolfHowl', 'TreeFalling']"
artifacts/data_preprocessing/processed_audio_data\mixed_136.wav,"['20', '23', '21']","['Clapping', 'BirdChapping', 'Insect']"
artifacts/data_preprocessing/processed_audio_data\mixed_137.wav,"['24', '1', '20']","['WingFlapping', 'Fire', 'Clapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_138.wav,"['8', '24']","['Helicopter', 'WingFlapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_139.wav,"['9', '25', '20']","['VehicleEngine', 'Lion', 'Clapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_140.wav,"['7', '26', '16']","['TreeFalling', 'WolfHowl', 'WoodChop']"
artifacts/data_preprocessing/processed_audio_data\mixed_141.wav,"['23', '14']","['BirdChapping', 'Firework']"
artifacts/data_preprocessing/processed_audio_data\mixed_142.wav,"['11', '6', '18']","['Chainsaw', 'Silence', 'Speaking']"
artifacts/data_preprocessing/processed_audio_data\mixed_143.wav,"['7', '9', '5']","['TreeFalling', 'VehicleEngine', 'Wind']"
artifacts/data_preprocessing/processed_audio_data\mixed_144.wav,"['23', '6']","['BirdChapping', 'Silence']"
artifacts/data_preprocessing/processed_audio_data\mixed_145.wav,"['2', '7', '11']","['Rain', 'TreeFalling', 'Chainsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_146.wav,"['27', '3', '4']","['Squirrel', 'Thunderstorm', 'WaterDrops']"
artifacts/data_preprocessing/processed_audio_data\mixed_147.wav,"['3', '2']","['Thunderstorm', 'Rain']"
artifacts/data_preprocessing/processed_audio_data\mixed_148.wav,"['11', '6']","['Chainsaw', 'Silence']"
artifacts/data_preprocessing/processed_audio_data\mixed_149.wav,"['20', '17', '4']","['Clapping', 'Whistling', 'WaterDrops']"
artifacts/data_preprocessing/processed_audio_data\mixed_150.wav,"['6', '14', '25']","['Silence', 'Firework', 'Lion']"
artifacts/data_preprocessing/processed_audio_data\mixed_151.wav,"['17', '22']","['Whistling', 'Frog']"
artifacts/data_preprocessing/processed_audio_data\mixed_152.wav,"['24', '18', '21']","['WingFlapping', 'Speaking', 'Insect']"
artifacts/data_preprocessing/processed_audio_data\mixed_153.wav,"['9', '21']","['VehicleEngine', 'Insect']"
artifacts/data_preprocessing/processed_audio_data\mixed_154.wav,"['13', '7', '12']","['Handsaw', 'TreeFalling', 'Generator']"
artifacts/data_preprocessing/processed_audio_data\mixed_155.wav,"['9', '10']","['VehicleEngine', 'Axe']"
artifacts/data_preprocessing/processed_audio_data\mixed_156.wav,"['20', '8', '19']","['Clapping', 'Helicopter', 'Footsteps']"
artifacts/data_preprocessing/processed_audio_data\mixed_157.wav,"['9', '19', '10']","['VehicleEngine', 'Footsteps', 'Axe']"
artifacts/data_preprocessing/processed_audio_data\mixed_158.wav,"['24', '25', '14']","['WingFlapping', 'Lion', 'Firework']"
artifacts/data_preprocessing/processed_audio_data\mixed_159.wav,"['26', '11', '14']","['WolfHowl', 'Chainsaw', 'Firework']"
artifacts/data_preprocessing/processed_audio_data\mixed_160.wav,"['13', '24', '14']","['Handsaw', 'WingFlapping', 'Firework']"
artifacts/data_preprocessing/processed_audio_data\mixed_161.wav,"['17', '4', '20']","['Whistling', 'WaterDrops', 'Clapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_162.wav,"['2', '7', '6']","['Rain', 'TreeFalling', 'Silence']"
artifacts/data_preprocessing/processed_audio_data\mixed_163.wav,"['22', '17', '10']","['Frog', 'Whistling', 'Axe']"
artifacts/data_preprocessing/processed_audio_data\mixed_164.wav,"['11', '3']","['Chainsaw', 'Thunderstorm']"
artifacts/data_preprocessing/processed_audio_data\mixed_165.wav,"['12', '18']","['Generator', 'Speaking']"
artifacts/data_preprocessing/processed_audio_data\mixed_166.wav,"['9', '23']","['VehicleEngine', 'BirdChapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_167.wav,"['13', '20']","['Handsaw', 'Clapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_168.wav,"['21', '13']","['Insect', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_169.wav,"['3', '16']","['Thunderstorm', 'WoodChop']"
artifacts/data_preprocessing/processed_audio_data\mixed_170.wav,"['9', '14', '12']","['VehicleEngine', 'Firework', 'Generator']"
artifacts/data_preprocessing/processed_audio_data\mixed_171.wav,"['11', '3']","['Chainsaw', 'Thunderstorm']"
artifacts/data_preprocessing/processed_audio_data\mixed_172.wav,"['20', '9', '10']","['Clapping', 'VehicleEngine', 'Axe']"
artifacts/data_preprocessing/processed_audio_data\mixed_173.wav,"['24', '20', '2']","['WingFlapping', 'Clapping', 'Rain']"
artifacts/data_preprocessing/processed_audio_data\mixed_174.wav,"['17', '13', '16']","['Whistling', 'Handsaw', 'WoodChop']"
artifacts/data_preprocessing/processed_audio_data\mixed_175.wav,"['2', '5']","['Rain', 'Wind']"
artifacts/data_preprocessing/processed_audio_data\mixed_176.wav,"['4', '8', '24']","['WaterDrops', 'Helicopter', 'WingFlapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_177.wav,"['23', '19', '17']","['BirdChapping', 'Footsteps', 'Whistling']"
artifacts/data_preprocessing/processed_audio_data\mixed_178.wav,"['12', '18']","['Generator', 'Speaking']"
artifacts/data_preprocessing/processed_audio_data\mixed_179.wav,"['19', '4']","['Footsteps', 'WaterDrops']"
artifacts/data_preprocessing/processed_audio_data\mixed_180.wav,"['26', '12']","['WolfHowl', 'Generator']"
artifacts/data_preprocessing/processed_audio_data\mixed_181.wav,"['7', '3']","['TreeFalling', 'Thunderstorm']"
artifacts/data_preprocessing/processed_audio_data\mixed_182.wav,"['6', '18', '15']","['Silence', 'Speaking', 'Gunshot']"
artifacts/data_preprocessing/processed_audio_data\mixed_183.wav,"['1', '25']","['Fire', 'Lion']"
artifacts/data_preprocessing/processed_audio_data\mixed_184.wav,"['27', '25', '19']","['Squirrel', 'Lion', 'Footsteps']"
artifacts/data_preprocessing/processed_audio_data\mixed_185.wav,"['21', '6', '13']","['Insect', 'Silence', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_186.wav,"['17', '1']","['Whistling', 'Fire']"
artifacts/data_preprocessing/processed_audio_data\mixed_187.wav,"['15', '13']","['Gunshot', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_188.wav,"['9', '14']","['VehicleEngine', 'Firework']"
artifacts/data_preprocessing/processed_audio_data\mixed_189.wav,"['13', '21']","['Handsaw', 'Insect']"
artifacts/data_preprocessing/processed_audio_data\mixed_190.wav,"['8', '12']","['Helicopter', 'Generator']"
artifacts/data_preprocessing/processed_audio_data\mixed_191.wav,"['11', '23', '21']","['Chainsaw', 'BirdChapping', 'Insect']"
artifacts/data_preprocessing/processed_audio_data\mixed_192.wav,"['3', '17', '23']","['Thunderstorm', 'Whistling', 'BirdChapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_193.wav,"['19', '24', '23']","['Footsteps', 'WingFlapping', 'BirdChapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_194.wav,"['17', '4', '27']","['Whistling', 'WaterDrops', 'Squirrel']"
artifacts/data_preprocessing/processed_audio_data\mixed_195.wav,"['1', '13']","['Fire', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_196.wav,"['21', '1']","['Insect', 'Fire']"
artifacts/data_preprocessing/processed_audio_data\mixed_197.wav,"['19', '20', '25']","['Footsteps', 'Clapping', 'Lion']"
artifacts/data_preprocessing/processed_audio_data\mixed_198.wav,"['19', '26']","['Footsteps', 'WolfHowl']"
artifacts/data_preprocessing/processed_audio_data\mixed_199.wav,"['20', '7', '24']","['Clapping', 'TreeFalling', 'WingFlapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_200.wav,"['18', '26']","['Speaking', 'WolfHowl']"
artifacts/data_preprocessing/processed_audio_data\mixed_201.wav,"['18', '24']","['Speaking', 'WingFlapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_202.wav,"['4', '6', '5']","['WaterDrops', 'Silence', 'Wind']"
artifacts/data_preprocessing/processed_audio_data\mixed_203.wav,"['4', '6']","['WaterDrops', 'Silence']"
artifacts/data_preprocessing/processed_audio_data\mixed_204.wav,"['22', '17']","['Frog', 'Whistling']"
artifacts/data_preprocessing/processed_audio_data\mixed_205.wav,"['7', '10', '4']","['TreeFalling', 'Axe', 'WaterDrops']"
artifacts/data_preprocessing/processed_audio_data\mixed_206.wav,"['25', '17']","['Lion', 'Whistling']"
artifacts/data_preprocessing/processed_audio_data\mixed_207.wav,"['14', '3', '13']","['Firework', 'Thunderstorm', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_208.wav,"['22', '3']","['Frog', 'Thunderstorm']"
artifacts/data_preprocessing/processed_audio_data\mixed_209.wav,"['4', '24', '12']","['WaterDrops', 'WingFlapping', 'Generator']"
artifacts/data_preprocessing/processed_audio_data\mixed_210.wav,"['12', '11', '1']","['Generator', 'Chainsaw', 'Fire']"
artifacts/data_preprocessing/processed_audio_data\mixed_211.wav,"['23', '15', '22']","['BirdChapping', 'Gunshot', 'Frog']"
artifacts/data_preprocessing/processed_audio_data\mixed_212.wav,"['12', '21', '26']","['Generator', 'Insect', 'WolfHowl']"
artifacts/data_preprocessing/processed_audio_data\mixed_213.wav,"['11', '6', '7']","['Chainsaw', 'Silence', 'TreeFalling']"
artifacts/data_preprocessing/processed_audio_data\mixed_214.wav,"['7', '22']","['TreeFalling', 'Frog']"
artifacts/data_preprocessing/processed_audio_data\mixed_215.wav,"['3', '22', '21']","['Thunderstorm', 'Frog', 'Insect']"
artifacts/data_preprocessing/processed_audio_data\mixed_216.wav,"['18', '2']","['Speaking', 'Rain']"
artifacts/data_preprocessing/processed_audio_data\mixed_217.wav,"['7', '23', '17']","['TreeFalling', 'BirdChapping', 'Whistling']"
artifacts/data_preprocessing/processed_audio_data\mixed_218.wav,"['1', '12', '23']","['Fire', 'Generator', 'BirdChapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_219.wav,"['13', '24']","['Handsaw', 'WingFlapping']"
artifacts/data_preprocessing/processed_audio_data\mixed_220.wav,"['22', '4', '3']","['Frog', 'WaterDrops', 'Thunderstorm']"
artifacts/data_preprocessing/processed_audio_data\mixed_221.wav,"['27', '25', '10']","['Squirrel', 'Lion', 'Axe']"
artifacts/data_preprocessing/processed_audio_data\mixed_222.wav,"['8', '4']","['Helicopter', 'WaterDrops']"
artifacts/data_preprocessing/processed_audio_data\mixed_223.wav,"['24', '7', '11']","['WingFlapping', 'TreeFalling', 'Chainsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_224.wav,"['12', '27', '19']","['Generator', 'Squirrel', 'Footsteps']"
artifacts/data_preprocessing/processed_audio_data\mixed_225.wav,"['26', '25', '15']","['WolfHowl', 'Lion', 'Gunshot']"
artifacts/data_preprocessing/processed_audio_data\mixed_226.wav,"['3', '19', '1']","['Thunderstorm', 'Footsteps', 'Fire']"
artifacts/data_preprocessing/processed_audio_data\mixed_227.wav,"['10', '16']","['Axe', 'WoodChop']"
artifacts/data_preprocessing/processed_audio_data\mixed_228.wav,"['27', '4', '12']","['Squirrel', 'WaterDrops', 'Generator']"
artifacts/data_preprocessing/processed_audio_data\mixed_229.wav,"['22', '27', '6']","['Frog', 'Squirrel', 'Silence']"
artifacts/data_preprocessing/processed_audio_data\mixed_230.wav,"['13', '27', '7']","['Handsaw', 'Squirrel', 'TreeFalling']"
artifacts/data_preprocessing/processed_audio_data\mixed_231.wav,"['5', '13']","['Wind', 'Handsaw']"
artifacts/data_preprocessing/processed_audio_data\mixed_232.wav,"['24', '11', '7']","['WingFlapping', 'Chainsaw', 'TreeFalling']"
